Wavelength,Flux,BestFit,SkyFlux
4049.486,6.071,7.785,18.935
4050.420,9.507,7.735,14.088
4051.352,13.265,8.254,11.429
4052.286,14.789,9.012,10.023
4053.218,12.219,9.863,9.433
4054.151,11.072,10.944,9.691
4055.086,13.654,11.410,9.882
4056.019,14.726,11.637,9.397
4056.954,12.402,12.162,8.301
4057.887,13.964,12.695,7.939
4058.823,15.022,12.320,8.762
4059.757,11.150,12.399,9.847
4060.691,10.368,12.707,10.265
4061.627,7.854,12.847,10.074
4062.561,10.127,12.955,10.040
4063.498,14.089,13.207,10.674
4064.433,11.211,13.025,11.530
4065.370,12.371,13.025,11.926
4066.305,13.220,13.338,12.198
4067.241,13.245,13.511,12.034
4068.179,10.933,13.335,11.037
4069.115,12.720,13.151,10.604
4070.053,15.631,13.363,10.607
4070.989,14.694,13.051,10.577
4071.928,11.501,13.106,10.496
4072.865,12.744,13.146,10.121
4073.802,15.898,12.826,9.403
4074.741,12.345,12.516,9.089
4075.679,9.078,12.562,10.127
4076.618,11.540,12.607,12.090
4077.556,10.835,12.038,13.585
4078.497,15.287,11.421,13.643
4079.435,5.833,10.910,12.570
4080.373,4.933,10.197,11.401
4081.314,9.917,9.753,10.686
4082.253,8.465,9.084,10.265
4083.194,7.677,8.476,9.914
4084.134,10.714,7.928,9.518
4085.076,4.035,7.683,9.227
4086.015,6.047,8.308,9.942
4086.955,8.991,9.780,11.347
4087.898,5.409,10.212,11.191
4088.838,5.900,9.446,9.664
4089.781,10.762,8.751,8.173
4090.722,10.416,8.641,7.621
4091.665,10.583,8.815,8.077
4092.606,12.655,9.568,8.846
4093.548,10.759,10.162,9.187
4094.492,10.139,10.743,8.829
4095.434,15.583,11.400,8.156
4096.378,6.834,12.109,7.997
4097.321,13.773,12.653,7.858
4098.265,12.499,12.648,7.882
4099.208,13.491,12.893,7.937
4100.151,16.705,12.933,7.996
4101.097,13.862,12.878,7.920
4102.040,10.702,13.105,7.618
4102.986,11.944,13.586,7.072
4103.930,15.731,13.632,6.461
4104.876,18.279,13.596,6.362
4105.821,11.254,14.016,6.578
4106.768,14.087,14.450,6.947
4107.712,11.619,14.412,7.061
4108.657,11.381,14.139,7.289
4109.605,12.712,14.470,7.792
4110.550,10.162,14.582,7.911
4111.498,12.063,14.609,7.488
4112.444,15.214,14.466,7.121
4113.392,14.828,14.085,7.215
4114.338,15.516,13.822,7.373
4115.285,15.355,14.263,7.411
4116.234,15.832,14.258,7.321
4117.181,16.154,14.363,7.556
4118.130,12.302,14.648,7.398
4119.078,13.156,14.884,6.983
4120.027,13.189,14.971,6.713
4120.975,14.173,14.965,6.953
4121.923,15.439,14.527,7.487
4122.874,15.841,14.322,7.746
4123.822,16.828,13.971,7.827
4124.773,16.947,13.751,7.883
4125.722,12.736,14.316,8.144
4126.673,10.578,14.587,8.635
4127.623,15.297,14.524,8.966
4128.572,9.625,14.554,8.605
4129.524,14.433,14.727,8.192
4130.474,14.100,14.892,8.178
4131.427,14.168,14.975,8.293
4132.377,15.553,15.075,8.173
4133.330,16.277,14.930,8.053
4134.281,17.813,15.001,8.295
4135.232,17.088,15.239,8.736
4136.186,15.709,15.231,9.418
4137.137,15.068,14.927,9.711
4138.091,19.778,15.114,9.295
4139.043,12.752,15.063,8.940
4139.998,12.945,15.264,8.745
4140.950,16.070,15.150,8.440
4141.903,15.988,14.637,8.003
4142.858,13.020,14.460,7.379
4143.811,11.851,14.713,6.648
4144.766,15.978,14.785,6.339
4145.720,20.138,14.982,6.727
4146.676,16.685,15.085,7.454
4147.630,18.158,15.027,8.048
4148.584,16.236,14.936,7.984
4149.541,14.833,14.476,7.423
4150.495,12.451,14.104,7.026
4151.452,13.829,13.985,6.931
4152.407,13.470,14.028,6.997
4153.365,12.797,14.207,7.280
4154.320,13.872,14.504,7.798
4155.276,13.965,14.694,8.631
4156.234,14.379,15.144,9.756
4157.190,15.547,15.229,9.937
4158.149,17.710,15.302,9.497
4159.106,13.649,15.424,9.093
4160.065,13.010,15.191,8.919
4161.022,14.128,14.934,8.844
4161.979,14.768,14.716,8.795
4162.939,17.579,14.712,8.884
4163.896,15.382,14.349,9.541
4164.857,11.361,13.679,10.842
4165.815,13.219,13.495,11.871
4166.775,12.977,13.973,11.569
4167.734,14.819,14.755,10.606
4168.693,17.805,14.983,10.786
4169.654,13.971,15.035,11.435
4170.613,15.263,15.172,11.429
4171.575,12.728,15.057,11.068
4172.535,15.207,14.654,10.796
4173.497,12.449,14.546,10.146
4174.457,11.657,14.587,9.201
4175.417,16.402,14.487,8.722
4176.380,16.835,14.328,8.806
4177.341,16.640,14.378,8.436
4178.304,16.886,14.393,8.693
4179.265,12.966,14.109,9.651
4180.229,14.452,14.401,9.628
4181.191,13.100,14.828,9.141
4182.155,12.380,14.627,8.482
4183.117,12.103,13.930,7.850
4184.079,13.413,13.939,7.726
4185.044,12.353,13.736,8.024
4186.007,13.428,13.855,8.416
4186.972,16.288,14.280,8.034
4187.935,13.373,14.814,7.540
4188.901,18.502,15.273,7.116
4189.865,15.338,15.183,7.311
4190.829,13.619,14.674,7.476
4191.795,16.032,14.208,7.596
4192.759,16.510,13.708,7.538
4193.726,11.050,13.557,7.496
4194.691,13.957,14.068,7.457
4195.658,15.547,13.906,7.404
4196.624,12.343,13.743,7.159
4197.589,13.138,13.590,6.629
4198.557,15.038,13.424,6.019
4199.523,15.061,13.379,6.018
4200.491,15.789,13.638,6.648
4201.457,14.712,14.128,6.842
4202.426,10.906,14.414,6.675
4203.393,16.005,14.173,6.588
4204.360,13.820,13.776,6.478
4205.330,11.764,13.545,6.676
4206.297,11.226,13.522,7.346
4207.267,10.894,13.736,8.103
4208.235,13.519,13.687,8.453
4209.205,16.795,13.704,8.157
4210.174,15.069,13.803,7.515
4211.142,13.651,13.858,7.002
4212.113,17.055,13.747,7.006
4213.082,17.227,13.355,7.300
4214.054,15.166,13.267,7.032
4215.023,10.375,13.110,6.504
4215.995,13.675,12.668,6.477
4216.965,12.122,12.065,6.845
4217.935,10.229,11.550,6.944
4218.908,13.050,11.177,6.577
4219.878,11.372,11.002,6.257
4220.851,9.007,11.505,6.405
4221.822,14.719,13.418,6.891
4222.796,19.857,15.691,6.811
4223.767,16.735,15.935,6.776
4224.739,14.013,13.832,6.813
4225.713,10.956,11.704,6.546
4226.685,12.082,10.952,6.078
4227.660,14.539,11.260,5.866
4228.633,11.879,11.710,5.905
4229.608,11.865,11.787,5.980
4230.581,15.818,11.929,6.141
4231.554,14.764,12.414,6.434
4232.530,15.939,12.528,6.627
4233.504,14.166,12.681,6.690
4234.480,12.792,13.120,6.934
4235.454,12.046,13.456,7.378
4236.431,12.909,13.627,7.312
4237.405,13.722,13.762,6.784
4238.380,15.774,13.926,6.308
4239.357,13.071,13.944,6.211
4240.333,10.692,13.678,6.305
4241.310,13.941,13.396,6.133
4242.286,16.521,13.720,5.986
4243.264,14.725,13.546,6.160
4244.241,15.157,13.594,6.065
4245.217,16.019,14.019,6.413
4246.196,12.835,14.355,7.805
4247.173,10.606,14.235,9.201
4248.152,13.209,14.101,9.569
4249.129,17.185,14.007,8.520
4250.109,15.679,13.994,7.476
4251.087,15.153,13.923,7.184
4252.065,15.081,13.677,7.440
4253.045,12.395,13.379,7.707
4254.024,12.621,13.413,7.575
4255.005,13.740,13.585,7.339
4255.984,8.890,13.612,7.581
4256.965,12.378,13.870,7.866
4257.944,14.797,14.197,7.711
4258.926,14.806,14.147,7.778
4259.906,11.002,14.534,7.669
4260.886,8.783,14.923,7.165
4261.869,13.335,14.932,6.752
4262.849,17.527,14.630,6.718
4263.832,13.559,14.353,6.859
4264.813,10.849,14.116,6.986
4265.796,16.177,13.243,7.122
4266.778,14.869,13.107,7.562
4267.759,11.921,13.582,7.687
4268.743,11.875,13.925,7.228
4269.725,16.974,14.075,6.893
4270.710,15.574,14.398,7.194
